0,55.4723742,10.3262965,9.02,328
1,55.4723934,10.3262823,14.49,326
2,55.4723931,10.3262836,15.19,328
3,55.4725078,10.3261545,16.28,327
4,55.4725100,10.3261575,20.02,326
5,55.4725080,10.3261544,23.02,328
6,55.4725050,10.3261477,22.68,326
7,55.4724963,10.3261219,22.68,325
8,55.4724638,10.3261839,22.92,326
9,55.4725601,10.3261612,24.31,329
10,55.4725619,10.3261621,32.62,327
11,55.4728898,10.3258039,57.63,327
12,55.4728874,10.3258056,57.35,328
13,55.4728869,10.3258065,69.00,327
14,55.4728876,10.3258051,46.51,326
15,55.4728881,10.3258053,58.42,328
16,55.4728876,10.3258052,57.42,326
17,55.4724914,10.3261700,18.49,326
18,55.4724922,10.3261690,23.22,326
19,55.4724900,10.3261696,23.15,325
